Persistent,NodeCount,AveragePacketArrivalRate,Efficiency,Throughput
true,20,7.000000,0.940146,209788.500000
true,20,10.000000,0.880121,299702.250000
true,20,20.000000,0.598020,598891.500000
true,40,7.000000,0.755294,420605.250000
true,40,10.000000,0.559212,599346.000000
true,40,20.000000,0.411817,1174095.000000
true,60,7.000000,0.511443,631144.500000
true,60,10.000000,0.366415,882873.750000
true,60,20.000000,0.421775,1718269.500000
true,80,7.000000,0.353258,822795.000000
true,80,10.000000,0.330070,1125244.500000
true,80,20.000000,0.433724,2254784.250000
true,100,7.000000,0.299717,979371.000000
true,100,10.000000,0.318583,1362251.250000
true,100,20.000000,0.441747,2791454.250000
false,20,7.000000,0.999721,188136.750000
false,20,10.000000,0.999697,257307.000000
false,20,20.000000,0.999437,447252.750000
false,40,7.000000,0.999103,337527.750000
false,40,10.000000,0.998964,442695.000000
false,40,20.000000,0.997314,682211.250000
false,60,7.000000,0.998108,455067.000000
false,60,10.000000,0.997003,575509.500000
false,60,20.000000,0.992725,805904.250000
false,80,7.000000,0.996264,550725.750000
false,80,10.000000,0.994450,671889.750000
false,80,20.000000,0.986521,873898.500000
false,100,7.000000,0.993849,625084.500000
false,100,10.000000,0.990387,740357.250000
false,100,20.000000,0.978319,914606.250000
