Persistent,NodeCount,AveragePacketArrivalRate,Efficiency,Throughput
true,20,7.000000,0.940781,0.210036
true,20,10.000000,0.879268,0.300536
true,20,20.000000,0.582156,0.600032
true,40,7.000000,0.751937,0.420620
true,40,10.000000,0.548841,0.600680
true,40,20.000000,0.318339,0.914240
true,60,7.000000,0.505338,0.628900
true,60,10.000000,0.276550,0.829323
true,60,20.000000,0.251412,0.910823
true,80,7.000000,0.284660,0.792234
true,80,10.000000,0.212318,0.912944
true,80,20.000000,0.212142,0.914984
true,100,7.000000,0.200422,0.850838
true,100,10.000000,0.185049,0.921005
true,100,20.000000,0.185099,0.920863
false,20,7.000000,0.999816,0.187658
false,20,10.000000,0.999796,0.257520
false,20,20.000000,0.999451,0.447655
false,40,7.000000,0.999391,0.337115
false,40,10.000000,0.998765,0.442782
false,40,20.000000,0.997135,0.682340
false,60,7.000000,0.997933,0.455960
false,60,10.000000,0.997015,0.575733
false,60,20.000000,0.992640,0.803503
false,80,7.000000,0.996024,0.550502
false,80,10.000000,0.994254,0.671924
false,80,20.000000,0.986141,0.870488
false,100,7.000000,0.993942,0.624793
false,100,10.000000,0.990474,0.740562
false,100,20.000000,0.978085,0.910330
